20240515	19:44:15	f11c0356-3b2b-481a-adb7-40401232afcc	Error: Not allowed by CORS	OPTIONS	/	https://www.google.com
20240515	19:44:15	bcca87a9-7155-4323-aaa5-e7c5ffd41396	Error: Not allowed by CORS	GET	/	https://www.google.com
20240516	20:36:33	b55e4ffb-a427-499b-a22e-beb4a711c716	SyntaxError: Expected double-quoted property name in JSON at position 69	POST	/user	undefined
20240522	19:05:02	6cfd3500-01ce-4436-ac77-9a30cdbed4b6	TypeError: Cannot read properties of undefined (reading 'includes')	PATCH	/user/update-username	undefined
20240522	19:16:55	d545f62e-bac3-4e38-9515-2079a80734bd	TypeError: Cannot read properties of undefined (reading 'push')	POST	/user/create-user	undefined
20240522	19:17:57	f48542f7-70c9-4445-b2ed-4ede5511db51	TypeError: Cannot read properties of undefined (reading 'push')	POST	/user/create-user	undefined
20240522	19:19:53	24e148f5-515b-45f1-8390-f3543d0ca49a	ReferenceError: Cannot access 'newUser' before initialization	POST	/user/create-user	undefined
20240522	19:20:46	4fca2367-9a7b-4a51-8aa9-c47c3cb634dd	TypeError: Cannot read properties of undefined (reading 'push')	POST	/user/create-user	undefined
20240522	19:23:11	af277cac-2899-4cbf-b7bd-094828044afd	TypeError: newUser.save is not a function	POST	/user/create-user	undefined
20240522	19:28:10	6dd171e4-fce4-45f6-96a1-bbd1639a80d0	TypeError: Cannot read properties of undefined (reading 'push')	POST	/user/create-user	undefined
20240522	19:43:04	02cb9320-9009-49f3-aed5-bfcdd8d9710e	CastError: Cast to ObjectId failed for value "664e3b02d9c2f548e335926" (type string) at path "_id" for model "User"	PATCH	/user/update-username	undefined
20240522	19:46:23	d983016e-7e5e-4839-8582-5a11e30c7074	TypeError: Cannot read properties of undefined (reading 'includes')	PATCH	/user/update-username	undefined
20240522	19:46:41	c8a5f24b-9ebe-41e7-9382-b27b4eb6b776	TypeError: Cannot read properties of undefined (reading 'includes')	PATCH	/user/update-username	undefined
